OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Troy,-19.4,7.7,-27.1,1.2,-10,-16.5,Turf,9,6,2014,Sat,19,Away,W,34,17,17,21331,71,NA,FALSE,,Troy,AL,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,1,FALSE,1,1,2,3,FALSE,FALSE
Kansas,-6.5,7.7,-14.2,1.2,-10.1,-16.6,Grass,9,13,2014,Sat,15.5,Home,W,41,3,38,25203,74.25532542,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,2,2,2,3,FALSE,FALSE
Tulane,-9.7,7.7,-17.4,1.2,-6.5,-13,Grass,9,20,2014,Sat,12.5,Home,W,47,13,34,20197,59.50620194,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,3,FALSE,FALSE
Miami (Fla.),10.8,7.7,3.1,1.2,10.8,4.3,Grass,9,27,2014,Sat,19.5,Away,L,10,22,-12,44559,69,NA,FALSE,,Miami Gardens,FL,ESPN2,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
Georgia Tech,16,7.7,8.3,1.2,12.4,5.9,Grass,10,11,2014,Sat,12.5,Away,W,31,25,6,44281,81,NA,FALSE,,Atlanta,GA,ESGP/ESPN3,FALSE,NA,22,8,FALSE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
Virginia,6.9,7.7,-0.8,1.2,-6.1,-12.6,Grass,10,18,2014,Sat,12.5,Home,W,20,13,7,28131,82.88206005,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,2,3,4,FALSE,FALSE
Pittsburgh,7.2,7.7,-0.5,1.2,5.3,-1.2,Grass,11,1,2014,Sat,12,Away,W,51,48,3,39293,57,NA,FALSE,,Pittsburgh,PA,ESPNU,FALSE,24,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,4,FALSE,FALSE
Syracuse,-0.8,7.7,-8.5,1.2,-0.5,-7,Turf,11,8,2014,Sat,12.5,Away,W,27,10,17,39331,80,NA,FALSE,,Syracuse,NY,ESGP/ESPN3,FALSE,22,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,FALSE
Virginia Tech,7.9,7.7,0.2,1.2,8.8,2.3,Grass,11,15,2014,Sat,12,Home,L,16,17,-1,30107,88.7039274,NA,FALSE,,Durham,NC,ESPNU,FALSE,21,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
North Carolina,4.4,7.7,-3.3,1.2,11.2,4.7,Grass,11,20,2014,Thu,19.5,Home,L,20,45,-25,33941,100,NA,FALSE,,Durham,NC,ESPN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
