OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Weather,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,OppCityDist
East Carolina,2005,-7.5,-13.8,6.3,NA,NA,NA,Away,9,3,Sat,13,L,21,24,-3,FALSE,35107,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,NA,NA,NA,,0,1,1,1,1,,TRUE,89.81
Virginia Tech,2005,22.6,-13.8,36.4,NA,NA,NA,Home,9,10,Sat,12,L,0,45,-45,FALSE,25014,73.69847677,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,84.4,41,,,NA,,,,,,,,,,,,FALSE,NA,TRUE,,0,0,1,1,1,,FALSE,119.79
VMI,2005,NA,-13.8,NA,NA,NA,NA,Home,9,17,Sat,13,W,40,14,26,FALSE,10126,29.83412392,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,90.3,44,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,127.28
Virginia,2005,7.7,-13.8,21.5,NA,NA,NA,Away,9,24,Sat,15.5,L,7,38,-31,FALSE,61021,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,67.3,71,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,2,,FALSE,142.54
Navy,2005,-1.5,-13.8,12.3,NA,NA,NA,Home,10,1,Sat,13,L,21,28,-7,FALSE,15246,44.91912436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,77.4,52,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,FALSE,244.78
Miami (Fla.),2005,16.7,-13.8,30.5,NA,NA,NA,Away,10,8,Sat,15.5,L,7,52,-45,FALSE,40315,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,FALSE,716.28
Georgia Tech,2005,6.6,-13.8,20.4,NA,NA,NA,Home,10,15,Sat,15.5,L,10,35,-25,FALSE,17451,51.41569194,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,78.4,39,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,347.61
Florida St.,2005,11.7,-13.8,25.5,NA,NA,NA,Home,10,22,Sat,15.5,L,24,55,-31,FALSE,21731,64.02580949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,72.3,71,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,FALSE,493.91
Wake Forest,2005,1.1,-13.8,14.9,NA,NA,NA,Home,10,29,Sat,12,L,6,44,-38,FALSE,15347,45.21669957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,55.4,38,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,75.75
Clemson,2005,10.8,-13.8,24.6,NA,NA,NA,Away,11,5,Sat,14,L,20,49,-29,FALSE,77278,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,72.3,51,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,239.73
