OppName,FPI,FPI_diff,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,Rain,1stSeedQB,SchoolBreak,NatlHoliday,TV_Coverage,City,State,Bowl,UNC_Game,Type,Attempts,Yards,AvgYd,TD_Gained,Comp,CompPct,Int,Rating,Touchbacks,TouchbackPct,OutOfBounds,Onside,Fumbles
Notre Dame,20.7,11.7,Grass,9,30,2023,Sat,19.5,Home,L,14,21,-7,40768,1,0.3,FALSE,TRUE,FALSE,FALSE,ABC,Durham,NC,FALSE,FALSE,Punt_Returns,1,7,7,0,,,,,,,,,
North Carolina St.,6.9,-2.1,Grass,10,14,2023,Sat,20,Home,W,24,3,21,31833,0.8,0.774,TRUE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punt_Returns,1,6,6,0,,,,,,,,,
Florida St.,19.8,10.8,Grass,10,21,2023,Sat,19.5,Away,L,20,38,-18,79560,1,0.19,FALSE,TRUE,FALSE,FALSE,ABC,Tallahassee,FL,FALSE,FALSE,Punt_Returns,0,0,,0,,,,,,,,,
Louisville,11.4,2.4,Turf,10,28,2023,Sat,15.5,Away,L,0,23,-23,52319,0.87,0.482,TRUE,TRUE,FALSE,FALSE,ESPN,Louisville,KY,FALSE,FALSE,Punt_Returns,1,6,6,0,,,,,,,,,
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Punt_Returns,1,4,4,0,,,,,,,,,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Punt_Returns,1,5,5,0,,,,,,,,,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Punt_Returns,2,6,3,0,,,,,,,,,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punt_Returns,2,13,6.5,0,,,,,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Punt_Returns,0,0,,0,,,,,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punt_Returns,1,0,0,0,,,,,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Punt_Returns,1,-11,-11,0,,,,,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Punt_Returns,2,41,20.5,0,,,,,,,,,
